,,Family (Scientific),Genus,Species (Scientific),Subspecies,Nom català,Species (English)
NEOGNATHAE,,,,,,
,,,137,Actitis,macularius,,Xivitona maculada,Spotted Sandpiper
,,,138,Tringa,ochropus,,Xivita,Green Sandpiper
,,,139,Tringa,flavipes,,Gamba groga petita,Lesser Yellowlegs
,,,140,Tringa,totanus,,Gamba roja vulgar,Common Redshank
,,,141,Tringa,stagnatilis,,Siseta,Marsh Sandpiper
,,,142,Tringa,glareola,,Valona,Wood Sandpiper
,,,143,Tringa,erythropus,,Gamba roja pintada,Spotted Redshank
,,,144,Tringa,nebularia,,Gamba verda,Common Greenshank
,,,,,,,,
,18,Glareolidae,,,,,,"Coursers, Pratincoles"
,,,145,Cursorius,cursor,,Corredor,Cream-colored Courser
,,,146,Glareola,pratincola,,Perdiu de mar,Collared Pratincole
,,,,,,,,
,19,Laridae,,,,,,"Gulls, Terns, Skimmers"
,,,147,Rissa,tridactyla,,Gavineta de tres dits,Black-legged Kittiwake
,,,148,Xema,sabini,,Gavineta cuaforcada,Sabine’s Gull
,,,149,Chroicocephalus,genei,,Gavina capblanca,Slender-billed Gull
,,,150,Chroicocephalus,philadelphia,,Gavina de Bonaparte,Bonaparte’s Gull
,,,151,Chroicocephalus,ridibundus,,Gavina vulgar,Black-headed Gull
,,,152,Hydrocoloeus,minutus,,Gavina menuda,Little Gull
,,,153,Leucophaeus,atricilla,,Gavina capnegra americana,Laughing Gull
,,,154,Leucophaeus,pipixcan,,Gavina de Franklin,Franklin’s Gull
,,,155,Ichthyaetus,audouinii,,Gavina corsa,Audouin’s Gull
,,,156,Ichthyaetus,melanocephalus,,Gavina capnegra,Mediterranean Gull
,,,157,Larus,canus,,Gavina cendrosa,Mew Gull
,,,158,Larus,delawarensis,,Gavina de Delaware,Ring-billed Gull
,,,159,Larus,marinus,,Gavinot,Great Black-backed Gull
,,,160,Larus,glaucoides,glaucoides,Gavinot polar,Iceland Gull
,,,161,Larus,argentatus,,Gavià argentat de potes roses,European Herring Gull
,,,162,Larus,cachinnans,,Gavià caspi,Caspian Gull
,,,163,Larus,michahellis,,Gavià argentat,Yellow-legged Gull
,,,164,Larus,fuscus,,Gavià fosc,Lesser Black-backed Gull
,,,,,,graelsii,,
,,,,,,intermedius,,
,,,165,Gelochelidon,nilotica,,Curroc,Gull-billed Tern
,,,166,Hydroprogne,caspia,,Xatrac gros,Caspian Tern
,,,167,Thalasseus,maximus,,Xatrac reial,Royal Tern
,,,168,Thalasseus,bengalensis,,Xatrac bengalí,Lesser Crested Tern
,,,169,Thalasseus,sandvicensis,,Xatrac becllarg,Sandwich Tern
